,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
30,:pycaret,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,11.335366666666665,24,0,0.6689267516263766,,1.0,
31,:gama,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,21.911483333333333,24,0,0.5395205794067063,,0.8065465734401529,
32,:mljar,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,22.112133333333336,24,0,0.0,,0.0,
33,:autogluon,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,24.378533333333333,24,0,0.5523893049042334,,0.8257844428574533,
34,:tpot,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,28.143516666666667,24,0,0.6503761229743732,,0.9722680717927623,
35,:flaml,:tabular_classification,6586fe089de6496c97bfdf2c,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,31.1284,24,0,0.5,,0.7474659950201406,
36,:evalml,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.74515,48,0,0.538629891147597,,0.8121131922676624,
37,:pycaret,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,4.906516666666667,48,0,0.6632448484719002,,1.0,
38,:autokeras,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,7.684983333333333,48,0,0.5026385224274407,,0.7578476087458612,
39,:lama,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,10.672266666666667,48,0,0.5995015649535855,,0.90389177742552,
40,:autogluon,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,33.211416666666665,48,0,0.5873615843953297,,0.8855878575590844,
