iter	Passed	Remaining
179	5917	26958
180	5922	26797
181	5925	26632
182	6005	26809
183	6008	26644
184	6010	26479
185	6122	26793
186	6124	26628
187	6172	26661
188	6175	26500
189	6178	26339
190	6206	26289
191	6213	26147
192	6250	26134
193	6258	26002
194	6344	26191
195	6393	26228
196	6396	26074
197	6399	25922
198	6486	26109
199	6527	26109
200	6531	25964
201	6623	26165
202	6628	26024
203	6703	26155
204	6705	26003
205	6707	25853
206	6778	25966
207	6781	25821
208	6824	25828
209	6827	25682
210	6868	25682
211	6870	25537
212	6911	25538
213	6914	25396
214	6953	25388
215	6956	25249
216	6998	25251
217	7000	25112
218	7039	25105
219	7043	24972
220	7045	24835
221	7084	24826
222	7088	24696
223	7123	24679
224	7128	24555
225	7131	24425
226	7134	24295
227	7174	24293
228	7178	24168
229	7231	24208
230	7253	24146
231	7279	24096
232	7366	24249
233	7389	24191
234	7393	24067
235	7479	24212
236	7489	24112
237	7491	23985
238	7604	24212
239	7626	24149
240	7628	24023
241	7681	24060
242	7700	23988
243	7702	23866
244	7706	23748
245	7741	23726
246	7785	23733
247	7816	23702
248	7820	23586
249	7900	23701
250	7903	23585
251	8013	23785
252	8032	23715
253	8036	23601
254	8099	23661
255	8124	23612
256	8191	23681
257	8233	23678
258	8244	23587
259	8296	23612
260	8298	23497
261	8391	23637
262	8410	23567
263	8437	23522
264	8444	23422
265	8452	23323
266	8478	23275
267	8481	23164
268	8544	23219
269	8549	23115
270	8622	23194
271	8673	23214
272	8676	23106
273	8689	23025
274	8714	22974
275	8744	22939
276	8747	22831
277	8751	22728
278	8802	22747
279	8823	22688
280	8840	22619
281	8847	22525
282	8868	22468
283	8871	22367
284	8895	22316
285	8991	22448
286	9053	22491
287	9095	22484
288	9146	22503
289	9155	22414
290	9156	22310
291	9159	22208
292	9207	22217
293	9238	22184
294	9270	22153
295	9272	22053
296	9275	21953
297	9312	21936
298	9316	21841
299	9345	21806
300	9349	21712
301	9389	21700
302	9391	21604
303	9453	21644
304	9497	21642
305	9534	21623
306	9561	21582
307	9564	21489
308	9567	21394
309	9570	21302
310	9641	21359
311	9645	21268
312	9647	21174
313	9712	21220
314	9716	21130
315	9718	21036
316	9722	20946
317	9725	20857
318	9854	21038
319	9878	20991
320	9883	20905
321	9887	20819
322	9918	20788
323	9951	20763
324	9955	20676
325	9997	20669
326	10063	20711
327	10069	20630
328	10096	205326329	10125	20558
330	10145	205328	11685	23833
329	11743	23842
330333	10283	205331	11786	23715
332	11877	23790
333	11879	23687
334	11900	23622
335	11901	23520
336339	10426	202337	11966	23437
338	12010	23419
339	12016	23325
340343	10592	201341	12148	23373
342345	10923	20647
346	10940	20587
347	10953	205345348	10994	20509
349	11034	204347	12647	23696
348	12649	23596
349	12652	23497
350	12675	23436
351	12760	23490
352	12837	23529
353356	11446	20616
357	11483	20592
358	11567	20653
359	11570	20569
360	11576	204358361	11684	20593
362	11905	20892
363	11935	20853
364	11962	20810
365	11980	20752
366	12052	20788
367	12146	20860
368	12150	20777
369	12153	20693
370	12156	20609
371	12232	20650
372	12368	20791
373	12392	20741
374	12394	20656
375	12616	20937
376	12618	20852
377	12644	20806
378	12646	20721
379	12669	20671
380	12672	20589
381	12776	20669
382	12785	20596
383	12788	20514
384	12791	20432
385	12880	20489
386	12940	20497
387	12982	20478
388	13048	20495
389	13126	20530
390	13128	20447
391	13253	20556
392	13277	20508
393	13367	20559
394	13374	20484
395	13376	20403
396	13461	20446
397	13539	20478
398	13557	20420
399	13595	20392
400	13645	20383
401	13647	20301
402	13649	20219
403	13676	20175
404	13689	20111
405	13714	20064
406	13815	20129
407	13874	20131
408	13909	20099
409	13912	20021
410	13960	20007
411	14014	20001
412	14020	19926
413	14138	20012
414	14140	19933
415	14142	19853
416	14145	19775
417	14147	19698
418	14232	19735
419	14237	19660
420	14286	19648
421	14289	19572
422	14330	19548
423	14333	19472
424	14337	19397
425	14423	19433
426	14425	19357
427	14451	19313
428	14534	19345
429	14536	19269
430	14605	19282
431	14608	19207
432	14611	19133
433	14693	19162
434	14731	19134
435	14745	19074
436	14785	19047
437	14787	18973
438	14955	19111
439	14973	19056
440	15027	19048
441	15069	19024
442	15169	19073
443	15172	18999
444	15222	18985
445	15275	18975
446	15283	18908
447	15376	18945
448	15378	18872
449	15430	18859
450	15439	18794
451	15443	18723
452	15478	18690
453	15481	18618
454	15483	18546
455	15557	18559
456	15599	18535
457	15602	18463
458	15639	18433
459	15661	18385
460	15699	18355
461	15704	18288
462	15739	18255
463	15742	18185
464	15777	18152
465	15804	18110
466	15809	18043
467	15834	17999
468	15838	17932
469	15879	17906
470	15946	17909
471	16014	17914
472	16018	17846
473	16021	17779
474	16187	17891
475	16250	17889
476	16301	17873
477	16303	17804
478	16311	17741
479	16367	17731
480	16429	17727
481	16433	17660
482	16477	17637
483	16543	17637
484	16609	17637
485	16643	17602
486	16762	17657
487	16830	17658
488	16870	17629
489	16872	17561
490	16874	17493
491	16920	17471
492	16931	17412
493	17017	17431
494	17105	17451
495	17170	17447
496	17216	17424
497	17221	17359
498	17276	17345
499	17301	17301
500	17304	17234
501	17341	17203
502	17344	17137
503	17390	17114
504	17417	17072
505	17420	17006
506	17462	16979
507	17464	16914
508	17466	16848
509	17539	16851
510	17542	16787
511	17545	16723
512	17548	16658
513	17653	16691
514	17655	16627
515	17708	16610
516	17713	16548
517	17716	16485
518	17783	16481
519	17823	16452
520	17826	16389
521	17859	16354
522	17867	16295
523	17921	16280
524	17924	16217
525	17927	16155
526	17929	16092
527	18015	16104
528	18019	16043
529	18065	16020
530	18068	15958
531	18074	15900
532	18077	15838
533	18080	15777
534	18168	15791
535	18173	15732
536	18224	15713
537	18273	15692
538	18283	15638
539	18317	15603
540	18320	15543
541	18363	15517
542	18415	15499
543	18426	15445
544	18461	15412
545	18464	15353
546	18501	15322
547	18509	15267
548	18512	15208
549	18515	15149
550	18553	15119
551	18601	15096
552	18627	15057
553	18658	15021
554	18694	14989
555	18860	15060
556	18882	15018
557	19038	15080
558	19184	15134
559	19187	15076
560	19237	15053
561	19241	14996
562	19244	14937
563	19316	14932
564	19321	14875
565	19383	14863
566	19412	14824
567	19454	14796
568	19506	14775
569	19516	14723
570	19557	14694
571	19560	14636
572	19581	14592
573	19583	14534
574	19612	14496
575	19619	14442
576	19624	14386
577	19651	14347
578	19654	14291
579	19687	14256
580	19689	14199
581	19692	14143
582	19781	14149
583	19788	14096
584	19817	14058
585	19853	14026
586	19856	13970
587	19945	13975
588	19948	13920
589	20002	13900
590	20009	13847
591	20014	13793
592	20103	13798
593	20137	13763
594	20141	13709
595	20187	13683
596	20189	13628
597	20244	13608
598	20247	13554
599	20281	13520
600	20285	13467
601	20311	13428
602	20313	13374
603	20372	13356
604	20380	13306
605	20415	13273
606	20422	13222
607	20432	13173
608	20436	13120
609	20438	13067
610	20534	13073
611	20566	13039
612	20628	13022
613	20630	12969
614	20679	12945
615	20705	12907
616	20711	12856
617	20720	12807
618	20766	12781
619	20768	12729
620	20770	12676
621	20804	12643
622	20806	12590
623	20844	12560
624	20847	12508
625	20878	12474
626	20922	12446
627	20925	12395
628	20927	12343
629	20962	12311
630	20967	12261
631	21015	12236
632	21018	12185
633	21021	12135
634	21062	12106
635	21066	12056
636	21098	12023
637	21124	11985
638	21153	11950
639	21160	11902
640	21206	11876
641	21247	11848
642	21249	11797
643	21251	11747
644	21292	11718
645	21294	11669
646	21344	11645
647	21349	11597
648	21381	11563
649	21385	11515
650	21388	11466
651	21474	11461
652	21527	11439
653	21530	11390
654	21583	11368
655	21586	11319
656	21613	11283
657	21622	11238
658	21665	11211
659	21668	11162
660	21676	11116
661	21707	11083
662	21710	11035
663	21712	10987
664	21769	10966
665	21772	10919
666	21775	10871
667	21825	10847
668	21855	10813
669	21889	10781
670	21893	10734
671	21916	10697
672	21919	10650
673	21957	10620
674	21967	10576
675	22002	10545
676	22023	10507
677	22026	10461
678	22080	10438
679	22123	10411
680	22126	10364
681	22140	10323
682	22184	10296
683	22189	10251
684	22215	10215
685	22243	10181
686	22296	10158
687	22298	10112
688	22302	10067
689	22336	10035
690	22343	9991
691	22372	9957
692	22375	9912
693	22378	9867
694	22380	9821
695	22420	9792
696	22423	9747
697	22448	9712
698	22451	9668
699	22495	9640
700	22497	9596
701	22543	9569
702	22546	9525
703	22548	9480
704	22597	9455
705	22627	9422
706	22633	9379
707	22635	9335
708	22695	9314
709	22705	9273
710	22754	9249
711	22760	9206
712	22792	9174
713	22795	9131
714	22800	9088
715	22888	9078
716	22900	9038
717	22909	8997
718	22935	8963
719	22980	8936
720	23007	8903
721	23015	8861
722	23017	8818
723	23023	8776
724	23030	8735
725	23044	8697
726	23052	8656
727	23117	8637
728	23132	8599
729	23180	8573
730	23204	8539
731	23213	8498
732	23243	8466
733	23249	8425
734	23278	8392
735	23291	8354
736	23320	8321
737	23331	8282
738	23385	8259
739	23393	8219
740	23424	8187
741	23546	8187
742	23551	8146
743	23573	8111
744	23605	8079
745	23610	8038
746	23628	8002
747	23667	7973
748	23670	7932
749	23718	7906
750	23725	7866
751	23727	7824
752	23728	7783
753	23765	7753
754	23770	7713
755	23773	7672
756	23921	7678
757	23943	7644
758	23946	7603
759	23989	7575
760	23992	7534
761	24064	7516
762	24121	7492
763	24124	7451
764	24155	7420
765	24157	7379
766	24164	7340
767	24188	7306
768	24251	7284
769	24254	7244
770	24286	7213
771	24319	7182
772	24324	7143
773	24360	7112
774	24362	7072
775	24394	7041
776	24420	7008
777	24449	6976
778	24452	6937
779	24532	6919
780	24534	6879
781	24537	6840
782	24588	6814
783	24591	6775
784	24635	6747
785	24638	6708
786	24665	6675
787	24667	6636
788	24671	6597
789	24704	6567
790	24706	6528
791	24728	6494
792	24735	6456
793	24798	6433
794	24840	6405
795	24845	6367
796	24848	6329
797	24934	6311
798	24938	6273
799	24942	6235
800	24977	6205
801	24979	6167
802	25010	6135
803	25013	6097
804	25019	6060
805	25045	6028
806	25062	5993
807	25088	5961
808	25092	5924
809	25145	5898
810	25172	5866
811	25175	5828
812	25206	5797
813	25211	5760
814	25224	5725
815	25234	5690
816	25242	5654
817	25246	5617
818	25250	5580
819	25273	5547
820	25276	5510
821	25278	5473
822	25299	5441
823	25317	5407
824	25361	5379
825	25385	5347
826	25433	5320
827	25469	5290
828	25508	5261
829	25511	5225
830	25532	5192
831	25542	5157
832	25550	5122
833	25565	5088
834	25626	5063
835	25706	5042
836	25708	5006
837	25729	4974
838	25737	4938
839	25832	4920
840	25838	4885
841	25876	4855
842	25930	4829
843	25959	4798
844	25964	4762
845	25998	4732
846	26002	4696
847	26037	4667
848	26041	4631
849	26043	4595
850	26090	4568
851	26118	4537
852	26121	4501
853	26124	4466
854	26144	4433
855	26146	4398
856	26171	4366
857	26178	4332
858	26209	4302
859	26225	4269
860	26228	4234
861	26231	4199
862	26252	4167
863	26273	4135
864	26275	4100
865	26285	4067
866	26288	4032
867	26296	3999
868	26298	3964
869	26302	3930
870	26307	3896
871	26315	3862
872	26318	3828
873	26323	3794
874	26334	3762
875	26338	3728
876	26341	3694
877	26352	3661
878	26366	3629
879	26370	3595
880	26373	3562
881	26376	3528
882	26378	3495
883	26397	3463
884	26418	3432
885	26421	3399
886	26425	3366
887	26446	3335
888	26450	3302
889	26453	3269
890	26500	3241
891	26502	3208
892	26528	3178
893	26530	3145
894	26537	3113
895	26540	3080
896	26543	3047
897	26548	3015
898	26562	2984
899	26566	2951
900	26581	2920
901	26587	2888
902	26606	2858
903	26636	2828
904	26639	2796
905	26658	2765
906	26667	2734
907	26672	2702
908	26693	2672
909	26696	2640
910	26699	2608
911	26720	2578
912	26723	2546
913	26741	2516
914	26744	2484
915	26771	2455
916	26774	2423
917	26778	2391
918	26782	2360
919	26798	2330
920	26800	2298
921	26805	2267
922	26827	2238
923	26830	2206
924	26849	2177
925	26855	2146
926	26858	2115
927	26876	2085
928	26934	2058
929	26956	2028
930	26962	1998
931	27008	1970
932	27010	1939
933	27012	1908
934	27032	1879
935	27035	1848
936	27078	1820
937	27080	1789
938	27082	1759
939	27094	1729
940	27096	1698
941	27114	1669
942	27116	1639
943	27123	1609
944	27125	1578
945	27194	1552
946	27199	1522
947	27219	1493
948	27236	1463
949	27239	1433
950	27241	1403
951	27250	1373
952	27252	1344
953	27254	1314
954	27256	1284
955	27259	1254
956	27262	1224
957	27264	1195
958	27266	1165
959	27268	1136
960	27270	1106
961	27272	1077
962	27275	1047
963	27277	1018
964	27279	989
965	27281	960
966	27283	931
967	27285	902
968	27287	872
969	27290	844
970	27292	815
971	27294	786
972	27296	757
973	27298	728
974	27300	700
975	27302	671
976	27305	642
977	27307	614
978	27309	585
979	27311	557
980	27313	529
981	27315	500
982	27317	472
983	27319	444
984	27321	416
985	27323	387
986	27325	359
987	27327	331
988	27329	303
989	27331	276
990	27333	248
991	27336	220
992	27337	192
993	27339	165
994	27341	137
995	27343	109
996	27345	82
997	27347	54
998	27351	27
999	27353	0
5
998	27755	27
999	27758	0
8	28483	28
999	28486	0
