feature,mean_importance
name_frank,0.0015138899243966053
home.dest_bulgaria,0.001515075857398762
name_james,0.001607612883355647
name_miss,0.0016622219888327682
name_goldsmith,0.0016666325386185399
home.dest_pq,0.0017552162915212889
home.dest_norway,0.0018087839580184228
ticket_2144,0.001815936392623807
home.dest_st,0.0018631315265105418
home.dest_new,0.0019235762831319781
name_victor,0.0019455515439649406
name_jr,0.0019469796608450717
name_goodwin,0.0019918788426315005
name_samuel,0.0020309485510369373
ticket_347082,0.0020852668579709687
home.dest_syria,0.0021252931769529136
name_sage,0.0021721940531021166
name_arthur,0.002176862263464874
home.dest_east,0.0021829398152473757
name_martin,0.0022561184803093328
ticket_pc,0.002569504322832783
home.dest_san,0.0026152485574747033
name_philip,0.002754721489174461
name_kate,0.0027575015844736317
name_jean,0.002887020803675688
home.dest_falls,0.003090834337648829
home.dest_york,0.0031088761033931434
home.dest_ca,0.0031177468170185073
home.dest_francisco,0.0031237885071990325
home.dest_park,0.0034089537324659023
home.dest_cooperstown,0.0034884752557261534
name_john,0.0035486830738400863
ticket_line,0.003583193330607415
home.dest_ct,0.003701710858647167
home.dest_paris,0.0037694952768849268
home.dest_finland,0.003788349480424014
home.dest_west,0.0038529640118648567
ticket_2343,0.004093967832841683
name_william,0.004150338855175883
home.dest_wiltshire,0.004341933763965633
name_emily,0.004515285741689312
ticket_pp,0.004599038760984042
home.dest_philadelphia,0.004618714175050132
home.dest_cornwall,0.005098760869781871
ticket_363291,0.005103262199217728
ticket_33638,0.005208396471213961
ticket_347088,0.005310901833428039
name_catherine,0.00562476625192232
ticket_14879,0.0057168954463888925
home.dest_milwaukee,0.005748368741969001
home.dest_sweden,0.0058175161782056724
home.dest_switzerland,0.005904394345007136
ticket_ca,0.005937895334095144
ticket_16966,0.006012592201040667
home.dest_ia,0.006013104095938382
name_rev,0.006114642136858262
age,0.006133729622863538
home.dest_haverford,0.006343178669815863
home.dest_ireland,0.006351804893970225
boat,0.006907332454805149
home.dest_london,0.006925446664649537
home.dest_brooklyn,0.006953841754502754
home.dest_island,0.007004759389424198
home.dest_ny,0.007484365562208084
home.dest_detroit,0.007564529388603925
name_ada,0.0076545310815107955
home.dest_france,0.007781569685541489
home.dest_pa,0.008215531336398163
name_marie,0.008334048412167294
ticket_17608,0.009118586189413701
passenger_id,0.009214996219306881
name_florence,0.009496583577605189
ticket_113503,0.012091271029585982
embarked,0.013545075738667811
home.dest_mn,0.013764693816971828
pclass,0.01803778103535374
sex,0.02315292200779915
name_mr,0.02360145215002909
name_master,0.024944186281967685
fare,0.02663175450986739
name_mrs,0.027209671892989597
ticket_1601,0.03443348321259658
cabin,0.04945745665830714
